IDvehicle,Vehicle type,Date,Time
1,truck,13/1/2022,70018
2,truck,13/1/2022,70018
3,truck,13/1/2022,70018
6,car,13/1/2022,70057
7,car,13/1/2022,70057
13,car,13/1/2022,70340
14,car,13/1/2022,70340
15,car,13/1/2022,70344
16,car,13/1/2022,70344
17,car,13/1/2022,70346
18,car,13/1/2022,70346
19,car,13/1/2022,70347
20,car,13/1/2022,70347
21,car,13/1/2022,70434
22,car,13/1/2022,70434
24,car,13/1/2022,70500
25,car,13/1/2022,70501
26,car,13/1/2022,70501
27,car,13/1/2022,70503
28,car,13/1/2022,70503
29,car,13/1/2022,70507
30,car,13/1/2022,70507
34,car,13/1/2022,70636
35,car,13/1/2022,70636
36,car,13/1/2022,70636
37,car,13/1/2022,70650
38,car,13/1/2022,70650
39,car,13/1/2022,70710
40,car,13/1/2022,70710
41,car,13/1/2022,70745
42,car,13/1/2022,70745
43,car,13/1/2022,70745
49,car,13/1/2022,70747
50,car,13/1/2022,70747
51,car,13/1/2022,70747
52,car,13/1/2022,70747
53,car,13/1/2022,70749
54,car,13/1/2022,70749
59,car,13/1/2022,70902
60,car,13/1/2022,70902
61,car,13/1/2022,70902
62,car,13/1/2022,70902
63,car,13/1/2022,70903
64,car,13/1/2022,70903
65,car,13/1/2022,70904
66,car,13/1/2022,70904
67,truck,13/1/2022,70955
68,truck,13/1/2022,71000
69,truck,13/1/2022,71000
70,truck,13/1/2022,71003
71,truck,13/1/2022,71003
72,car,13/1/2022,71025
73,car,13/1/2022,71027
74,car,13/1/2022,71027
75,truck,13/1/2022,71146
76,car,13/1/2022,71153
77,car,13/1/2022,71224
78,car,13/1/2022,71224
79,car,13/1/2022,71231
80,car,13/1/2022,71231
87,truck,13/1/2022,71312
88,truck,13/1/2022,71312
89,truck,13/1/2022,71312
90,truck,13/1/2022,71313
91,car,13/1/2022,71428
92,car,13/1/2022,71428
93,car,13/1/2022,71430
94,car,13/1/2022,71431
95,car,13/1/2022,71439
96,car,13/1/2022,71439
97,car,13/1/2022,71440
98,car,13/1/2022,71440
99,truck,13/1/2022,71448
100,truck,13/1/2022,71449
101,car,13/1/2022,71551
102,car,13/1/2022,71551
103,car,13/1/2022,71602
104,car,13/1/2022,71602
105,car,13/1/2022,71612
106,car,13/1/2022,71612
107,car,13/1/2022,71722
108,car,13/1/2022,71722
109,car,13/1/2022,71722
110,car,13/1/2022,71722
111,truck,13/1/2022,71806
112,truck,13/1/2022,71806
113,truck,13/1/2022,71806
114,bus,13/1/2022,71809
115,bus,13/1/2022,71809
116,bus,13/1/2022,71809
117,bus,13/1/2022,71809
118,car,13/1/2022,71836
119,car,13/1/2022,71836
120,car,13/1/2022,71839
121,car,13/1/2022,71839
122,car,13/1/2022,71951
123,car,13/1/2022,71951
125,car,13/1/2022,72002
126,car,13/1/2022,72002
127,car,13/1/2022,72013
128,car,13/1/2022,72013
129,car,13/1/2022,72039
130,car,13/1/2022,72039
131,truck,13/1/2022,72127
132,truck,13/1/2022,72127
135,car,13/1/2022,72144
136,car,13/1/2022,72144
137,car,13/1/2022,72159
138,car,13/1/2022,72209
139,car,13/1/2022,72209
140,car,13/1/2022,72209
141,car,13/1/2022,72209
142,truck,13/1/2022,72240
143,truck,13/1/2022,72240
144,car,13/1/2022,72252
145,car,13/1/2022,72332
146,car,13/1/2022,72332
147,car,13/1/2022,72332
148,car,13/1/2022,72519
149,car,13/1/2022,72520
150,bus,13/1/2022,72621
151,car,13/1/2022,72651
152,car,13/1/2022,72651
153,car,13/1/2022,72653
154,car,13/1/2022,72653
155,car,13/1/2022,72732
156,car,13/1/2022,72732
157,truck,13/1/2022,72808
158,truck,13/1/2022,72808
159,truck,13/1/2022,72808
160,truck,13/1/2022,72808
161,car,13/1/2022,72816
162,car,13/1/2022,72816
163,car,13/1/2022,72823
164,car,13/1/2022,72823
165,car,13/1/2022,72926
166,car,13/1/2022,72926
167,car,13/1/2022,72928
168,car,13/1/2022,72928
169,car,13/1/2022,73007
170,car,13/1/2022,73007
171,car,13/1/2022,73050
172,car,13/1/2022,73057
173,car,13/1/2022,73057
174,car,13/1/2022,73109
175,car,13/1/2022,73109
176,car,13/1/2022,73109
177,car,13/1/2022,73125
178,car,13/1/2022,73126
179,car,13/1/2022,73141
180,car,13/1/2022,73141
184,truck,13/1/2022,
185,truck,13/1/2022,73221
186,truck,13/1/2022,
187,truck,13/1/2022,
188,car,13/1/2022,73339
189,car,13/1/2022,73339
190,car,13/1/2022,73341
191,car,13/1/2022,73353
192,car,13/1/2022,73353
195,car,13/1/2022,73411
