IDvehicle,Vehicle type,Date,Time
1,car,02-12-2021,08:00:02
2,car,02-12-2021,08:00:02
3,car,02-12-2021,08:00:02
4,car,02-12-2021,08:00:05
5,car,02-12-2021,08:00:05
6,car,02-12-2021,08:00:09
7,car,02-12-2021,08:00:09
8,truck,02-12-2021,08:00:22
9,truck,02-12-2021,08:00:35
10,car,02-12-2021,08:00:41
11,car,02-12-2021,08:00:44
12,car,02-12-2021,08:00:46
13,car,02-12-2021,08:00:53
14,car,02-12-2021,08:01:19
15,truck,02-12-2021,08:01:23
16,car,02-12-2021,08:01:54
17,car,02-12-2021,08:01:54
18,car,02-12-2021,08:02:29
19,car,02-12-2021,08:02:34
20,car,02-12-2021,08:02:35
21,truck,02-12-2021,08:02:45
22,truck,02-12-2021,08:02:45
23,car,02-12-2021,08:02:50
24,car,02-12-2021,08:02:53
25,truck,02-12-2021,08:02:56
26,truck,02-12-2021,08:02:56
27,car,02-12-2021,08:02:59
28,truck,02-12-2021,08:03:03
29,truck,02-12-2021,08:03:03
30,car,02-12-2021,08:03:05
31,car,02-12-2021,08:03:05
32,car,02-12-2021,08:03:16
33,car,02-12-2021,08:03:17
34,car,02-12-2021,08:03:17
35,car,02-12-2021,08:03:21
36,car,02-12-2021,08:03:23
37,car,02-12-2021,08:03:23
38,car,02-12-2021,08:03:28
39,car,02-12-2021,08:03:30
40,car,02-12-2021,08:03:32
41,car,02-12-2021,08:03:34
42,car,02-12-2021,08:03:36
43,truck,02-12-2021,08:03:40
44,truck,02-12-2021,08:03:40
45,car,02-12-2021,08:03:41
46,car,02-12-2021,08:03:41
47,truck,02-12-2021,08:03:42
48,car,02-12-2021,08:04:10
49,car,02-12-2021,08:04:10
50,car,02-12-2021,08:04:10
51,car,02-12-2021,08:04:29
52,car,02-12-2021,08:04:56
53,car,02-12-2021,08:04:56
54,car,02-12-2021,08:04:56
55,car,02-12-2021,08:04:56
56,car,02-12-2021,08:04:59
57,car,02-12-2021,08:05:02
58,car,02-12-2021,08:05:06
59,truck,02-12-2021,08:05:08
60,car,02-12-2021,08:05:10
61,car,02-12-2021,08:05:13
62,car,02-12-2021,08:05:13
63,car,02-12-2021,08:05:15
64,car,02-12-2021,08:05:21
65,car,02-12-2021,08:05:23
66,truck,02-12-2021,08:05:25
67,car,02-12-2021,08:05:28
68,car,02-12-2021,08:05:28
69,car,02-12-2021,08:05:47
